label,sentence
1,A stirring funny and finally transporting reimagining of Beauty and the Beast and 1930s horror films
0,Apparently reassembled from the cuttingroom floor of any given daytime soap
0,They presume their audience wont sit still for a sociology lesson however entertainingly presented so they trot out the conventional sciencefiction elements of bugeyed monsters and futuristic women in skimpy clothes
1,This is a visually stunning rumination on love memory history and the war between art and commerce
1,Jonathan Parkers Bartleby should have been the beallendall of the modernoffice anomie films
1,Campanella gets the tone just right  funny in the middle of sad in the middle of hopeful
0,A fan film that for the uninitiated plays better on video with the sound turned down
1,Bart and Berling are both superb while Huppert  is magnificent
0,A little less extreme than in the past with longer exposition sequences between them and with fewer gags to break the tedium
0,The film is strictly routine
1,A lyrical metaphor for cultural and personal selfdiscovery and a picaresque view of a littleremembered world
0,The most repugnant adaptation of a classic text since Roland Joff and Demi Moores The Scarlet Letter
0,For something as splendidlooking as this particular film the viewer expects something special but instead gets scifi rehash
1,This is a stunning film a oneofakind tour de force
1,May be more genial than ingenious but it gets the job done
1,There is a freedom to watching stunts that are this crude this fastpaced and this insane
0,If The Tuxedo actually were a suit it would fit Chan like a 99 bargainbasement special
1,As quiet patient and tenacious as Mr Lopez himself who approaches his difficult endless work with remarkable serenity and discipline
0,Final verdict Youve seen it all before
0,Blue Crush follows the formula but throws in too many conflicts to keep the story compelling
0,You  get a sense of good intentions derailed by a failure to seek and strike just the right tone
1,A slick engrossing melodrama
0,A wretched movie that reduces the Second World War to one mans quest to find an old flame
0,Will undoubtedly play well in European markets where Mr Besson is a brand name and in Asia where Ms Shu is an institution but American audiences will probably find it familiar and insufficiently cathartic
0,Lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a childs interest and an adults patience
1,The Santa Clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be
1,The film is moody oozing chilling and heartwarming all at oncea twisting unpredictable catandmouse thriller
0,Too bad
1,A strong first act and absolutely inescapably gorgeous skyscrapertrapeze motion of the amazing SpiderMan
0,Gooding offers a desperately ingratiating performance
0,A wellintentioned effort thats still too burdened by the actors offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility
1,A fun ride
1,An edgy thriller that delivers a surprising punch
1,Whats the Russian word for Wow
1,OttoSallies has a real filmmakers eye
0,Lurid and less than lucid work
0,With its parade of almost perpetually wasted characters  Margarita feels like a hazy high that takes too long to shake
0,I could just feel the screenwriter at every moment Tap tap tap tap tapping away on this screenplay
1,Overall Cletis Tout is a winning comedy that excites the imagination and tickles the funny bone
1,You live the mood rather than savour the story
1,The movie is so thoughtlessly assembled
1,Some Body is a shaky uncertain film that nevertheless touches a few raw nerves
1,Its a very sincere work but it would be better as a diary or documentary
0,While American Adobo has its heart and its palate in the right place its brain is a little scattered  ditsy even
1,Unfolds with such a wallop of youarethere immediacy that when the bullets start to fly your first instinct is to duck
0,And its a lousy one at that
1,Its not too fast and not too slow
1,Its an entertaining movie and the effects boosted to the size of a downtown hotel will all but take you to outer space
1,It is as uncompromising as it is nonjudgmental and makes clear that a prostitute can be as lonely and needy as any of the clients
1,Compellingly watchable
0,Despite some comic sparks Welcome to Collinwood never catches fire
1,Though Jackson doesnt always succeed in integrating the characters in the foreground into the extraordinarily rich landscape it must be said that he is an imaginative filmmaker who can see the forest for the trees
1,Not only does SpiderMan deliver but I suspect it might deliver again and again
1,Its worth taking the kids to
0,Without Shakespeares eloquent language the update is dreary and sluggish
1,Dense exhilarating documentary
0,feels as if theres a choke leash around your neck so director Nick Cassavetes can give it a good hard yank whenever he wants you to feel something
1,Poignant if familiar story of a young person suspended between two cultures
1,Methodical measured and gently tedious in its comedy Secret Ballot is a purposefully reductive movie  which may be why its so successful at lodging itself in the brain
1,Though a touch too Arthouse 101 in its poetic symbolism Heaven proves to be a good match of the sensibilities of two directors
1,Superbly photographed and staged by Mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen
1,A metaphor for a modernday urban China searching for its identity
1,Its a square sentimental drama that satisfies as comfort food often can
1,The wonderfully lush Morvern Callar is pure punk existentialism and Ms Ramsay and her cowriter Liana Dognini have dramatized the Alan Warner novel which itself felt like an answer to Irvine Welshs book Trainspotting
1,Admirers of director Abel Ferrara may be relieved that his latest feature R Xmas marks a modest if encouraging return to form
0,Not once in the rush to save the day did I become very involved in the proceedings to me it was just a matter of eh
0,An uglyduckling tale so hideously and clumsily told it feels accidental
0,Becomes a bit of a mishmash a tearjerker that doesnt and a thriller that wont
1,Could I have been more geeked when I heard that Apollo 13 was going to be released in IMAX format
1,This is a very ambitious project for a fairly inexperienced filmmaker but good actors good poetry and good music help sustain it
0,More successful at relating history than in creating an emotionally complex dramatically satisfying heroine
1,Chos timing is priceless
1,Criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes My Big Fat Greek Wedding look like an apartheid drama
1,Theres something to be said for a studioproduced film that never bothers to hand viewers a suitcase full of easy answers
1,What elevates the movie above the runofthemill singles blender is its surreal sense of humor and technological finish
1,Nicholsons understated performance is wonderful
1,The filmmakers know how to please the eye but it is not always the prettiest pictures that tell the best story
0,Its unfortunate that Wallace who wrote Gibsons Braveheart as well as the recent Pearl Harbor has such an irrepressible passion for sappy situations and dialogue
0,Jackson shamefully strolls through this mess with a smug grin inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder
0, a fascinating curiosity piece  fascinating that is for about ten minutes
0,Over and over again
1,Nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure
0,This Bond film goes off the beaten path not necessarily for the better
0,its solemn pretension prevents us from sharing the awe in which it holds itself
0,The drama discloses almost nothing
0,A sham construct based on theory sleightofhand and illwrought hypothesis
1,Isabelle Huppert excels as the enigmatic Mika and Anna Mouglalis is a stunning new young talent in one of Chabrols most intense psychological mysteries
1,Like its parade of predecessors this Halloween is a gory slashfest
1,Perhaps the best sports movie Ive ever seen
0,This pathetic junk is barely an hour long
1,ouve got to love a Disney pic with as little cleavage as this one has and a heroine as feisty and principled as Jane
1,This is a gorgeous film  vivid with color music and life
1,Playing a role of almost Bergmanesque intensity  Bisset is both convincing and radiant
0,The trappings of I Spy are so familiar you might as well be watching a rerun
1,It treats Anas journey with honesty that is tragically rare in the depiction of young women in film
1,Leigh makes these lives count
1,Ambitious unsettling psychodrama that takes full chilling advantage of its rougharoundtheedges lowbudget constraints
1,The Woodman seems to have directly influenced this girlmeetsgirl love story but even more reassuring is how its makers actually seem to understand what made Allens romantic comedies so pertinent and enduring
1,I couldnt recommend this film more
0,An inexperienced director Mehta has much to learn
0,You can taste it but theres no fizz
0,A reworking of Die Hard and Cliffhanger but its nowhere near as exciting as either
1,A moving tale of love and destruction in unexpected places unexamined lives
1,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing
0,Why
0,And that is where Ararat went astray
1,Vincent Gallo is right at home in this French shocker playing his usual bad boy weirdo role
0,Clockstoppers is one of those crazy mixedup films that doesnt know what it wants to be when it grows up
0,Sandra Bullock despite downplaying her good looks carries a little too much aint shecute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff
1,Its mostly a pleasure to watch
